Type;A[Real|0.014|5.322];V[Real|0|2];B[Real|0|2];S[Real|4|371.428571428571];U[Real|0.874890638670166|877.19298245614];Ph[Real|0|877.19298245614];Pe[Real|0|43697.0338983051];L[Real|108|4551.72413793103]
Feasible;0.30;1.00;0.00;40.00;216.67;283.33;2333.33;1633.33
Feasible;0.30;2.00;0.00;40.00;233.33;266.67;0.00;1633.33
Feasible;0.20;0.00;0.00;30.00;75.00;0.00;0.00;755.00
Feasible;0.16;0.00;0.00;31.85;63.69;0.00;0.00;898.09
Feasible;0.19;0.00;0.00;36.27;77.72;25.91;0.00;1119.17
Feasible;0.19;2.00;0.00;67.01;36.08;0.00;0.00;1500.00
Feasible;0.19;2.00;0.00;46.88;145.83;296.88;0.00;1125.00
Feasible;0.19;0.00;0.00;46.88;145.83;296.88;0.00;937.50
Feasible;0.42;0.00;0.00;35.46;236.41;70.92;945.63;1430.26
Feasible;0.14;0.00;0.00;43.80;255.47;109.49;1277.37;1197.08
Feasible;0.41;0.00;0.00;36.23;241.55;96.62;2415.46;393.72
Feasible;0.13;2.00;0.00;31.25;312.50;0.00;0.00;1648.44
Feasible;0.27;0.00;0.00;44.12;625.00;128.68;3676.47;985.29
Feasible;0.27;0.00;0.00;44.12;661.76;91.91;3676.47;1128.68
Feasible;0.14;2.00;0.00;41.96;419.58;279.72;2097.90;1433.57
Feasible;0.14;2.00;0.00;41.96;419.58;279.72;2097.90;2083.92
Feasible;0.16;2.00;0.00;62.50;156.25;156.25;5312.50;1975.00
Feasible;0.10;2.00;0.00;50.51;252.53;101.01;0.00;2555.56
Feasible;0.24;2.00;0.00;28.93;206.61;115.70;3099.17;1140.50
Feasible;0.22;2.00;0.00;32.56;232.56;130.23;3488.37;1269.77
Feasible;0.08;0.00;0.00;25.64;102.56;0.00;1538.46;987.18
Feasible;0.03;0.00;0.00;71.43;285.71;0.00;2142.86;2750.00
Feasible;0.03;0.00;0.00;71.43;214.29;0.00;8928.57;2500.00
Feasible;0.03;0.00;0.00;35.71;357.14;0.00;0.00;1107.14
Feasible;0.13;1.00;0.00;54.26;581.40;116.28;4651.16;984.50
Feasible;0.13;1.00;0.00;54.26;581.40;116.28;0.00;1286.82
Feasible;0.36;0.00;0.00;44.82;112.04;112.04;0.00;1347.34
Feasible;0.14;0.00;0.00;21.13;7.04;0.00;0.00;1345.07
Feasible;0.51;0.00;0.00;58.71;195.69;97.85;1369.86;771.04
Feasible;0.19;0.00;0.00;54.05;91.89;16.22;7567.57;832.43
Feasible;0.37;2.00;0.00;53.76;166.67;166.67;833.33;629.03
Feasible;0.84;1.00;0.00;43.84;165.88;165.88;592.42;1109.00
Feasible;0.10;0.00;0.00;30.00;200.00;80.00;1500.00;800.00
Feasible;0.06;2.00;0.00;35.09;350.88;87.72;0.00;1210.53
Feasible;0.09;0.00;0.00;43.01;322.58;96.77;0.00;741.94
Feasible;0.09;0.00;0.00;65.22;347.83;65.22;4891.30;1130.43
Feasible;0.11;0.00;0.00;46.73;289.72;196.26;7476.64;1205.61
Feasible;0.21;2.00;0.00;46.95;333.33;192.49;7511.74;1079.81
Feasible;0.08;0.00;0.00;47.62;238.10;95.24;1785.71;1500.00
Feasible;0.06;0.00;0.00;36.36;181.82;90.91;2727.27;2181.82
Feasible;0.12;0.00;0.00;40.32;120.97;161.29;4838.71;854.84
Feasible;0.12;2.00;0.00;16.53;206.61;99.17;826.45;727.27
Feasible;0.22;2.00;0.00;45.05;333.33;157.66;2027.03;1540.54
Feasible;0.22;1.00;0.00;45.05;274.77;139.64;0.00;1049.55
Feasible;0.07;0.00;1.00;42.25;211.27;140.85;2112.68;971.83
Feasible;0.07;2.00;1.00;42.25;211.27;140.85;2112.68;1225.35
Feasible;0.14;0.00;1.00;41.96;349.65;349.65;4195.80;916.08
Feasible;0.06;2.00;0.00;52.63;438.60;87.72;3508.77;1824.56
Feasible;0.36;2.00;0.00;39.11;279.33;418.99;2094.97;790.50
Feasible;0.36;2.00;0.00;39.11;279.33;418.99;2094.97;748.60
Feasible;0.19;0.00;0.00;54.05;432.43;270.27;4324.32;875.68
Feasible;0.11;0.00;0.00;52.63;701.75;263.16;6140.35;1587.72
Feasible;0.21;1.00;0.00;56.07;233.64;116.82;3130.84;528.04
Feasible;0.09;2.00;0.00;35.29;188.24;47.06;1764.71;2388.24
Feasible;0.21;2.00;2.00;42.45;514.15;188.68;2358.49;1146.23
Feasible;0.21;0.00;2.00;42.45;471.70;188.68;2358.49;1141.51
Feasible;0.18;0.00;0.00;44.94;168.54;84.27;2528.09;1078.65
Feasible;0.09;0.00;0.00;21.51;53.76;107.53;1612.90;1290.32
Feasible;0.19;0.00;0.00;64.17;160.43;80.21;4545.45;764.71
Feasible;0.07;2.00;0.00;27.03;175.68;108.11;2027.03;1189.19
Feasible;0.19;2.00;0.00;41.24;242.27;360.82;3865.98;1324.74
Feasible;0.32;1.00;0.00;41.27;361.90;212.70;952.38;1222.22
Feasible;0.70;0.00;1.00;28.57;142.86;71.43;571.43;870.00
Feasible;0.14;0.00;1.00;34.97;139.86;69.93;2097.90;713.29
Feasible;0.70;0.00;1.00;28.57;142.86;71.43;857.14;342.86
Feasible;0.17;0.00;1.00;29.24;216.37;58.48;5263.16;1011.70
Feasible;0.52;2.00;2.00;24.95;201.54;115.16;4414.59;598.85
Feasible;0.06;2.00;0.00;35.09;263.16;175.44;5263.16;1017.54
Feasible;0.59;0.00;0.00;38.92;253.81;84.60;1150.59;903.55
Feasible;0.20;0.00;0.00;49.02;490.20;73.53;0.00;1132.35
Feasible;0.60;0.00;0.00;33.56;335.57;83.89;3523.49;525.17
Feasible;0.32;2.00;1.00;37.85;315.46;236.59;946.37;1255.52
Feasible;0.47;2.00;0.00;33.90;470.34;207.63;3442.80;1084.75
Feasible;0.44;2.00;0.00;50.57;682.76;282.76;5459.77;1475.86
Feasible;0.05;0.00;0.00;55.56;277.78;92.59;0.00;1370.37
Feasible;0.05;0.00;0.00;55.56;277.78;92.59;0.00;1370.37
Feasible;0.06;0.00;0.00;66.67;266.67;33.33;0.00;1266.67
Feasible;0.06;0.00;0.00;66.67;300.00;33.33;0.00;2683.33
Feasible;0.03;0.00;0.00;68.97;517.24;172.41;0.00;1689.66
Feasible;0.07;0.00;0.00;28.99;217.39;72.46;0.00;855.07
Feasible;0.36;0.00;1.00;44.82;168.07;56.02;0.00;1019.61
Feasible;0.36;0.00;1.00;44.82;168.07;56.02;0.00;1047.62
Feasible;0.47;0.00;1.00;29.79;244.68;74.47;0.00;851.06
Feasible;0.47;0.00;1.00;53.19;159.57;53.19;0.00;1297.87
Feasible;0.34;2.00;2.00;41.30;224.19;97.35;0.00;1159.29
Feasible;0.34;2.00;2.00;20.65;224.19;97.35;0.00;1203.54
Feasible;1.63;0.00;2.00;43.00;153.56;30.71;614.25;1197.79
Feasible;1.06;0.00;2.00;37.84;236.52;47.30;946.07;1267.74
Feasible;1.40;0.00;2.00;33.57;196.43;89.29;0.00;728.57
Feasible;1.00;0.00;1.00;40.00;250.00;70.00;0.00;1120.00
Feasible;0.98;1.00;2.00;38.78;193.88;112.24;3061.22;1391.84
Feasible;0.55;1.00;2.00;40.00;192.73;116.36;2727.27;827.27
Feasible;0.11;0.00;0.00;37.38;140.19;46.73;0.00;1074.77
Feasible;0.11;0.00;0.00;37.38;140.19;46.73;0.00;1299.07
Feasible;0.10;0.00;0.00;48.08;192.31;48.08;0.00;432.69
Feasible;0.10;0.00;0.00;48.08;96.15;48.08;0.00;1701.92
Feasible;0.10;0.00;0.00;76.92;480.77;192.31;4807.69;1057.69
Feasible;0.18;0.00;0.00;45.71;285.71;57.14;2857.14;628.57
Feasible;0.14;0.00;0.00;59.26;148.15;74.07;0.00;1333.33
Feasible;0.14;0.00;0.00;59.26;148.15;74.07;0.00;800.00
Feasible;0.20;0.00;0.00;45.00;45.00;45.00;0.00;485.00
Feasible;0.20;0.00;0.00;20.00;65.00;25.00;0.00;690.00
Feasible;0.14;0.00;0.00;97.90;209.79;69.93;0.00;1510.49
Feasible;0.14;0.00;0.00;97.90;209.79;69.93;0.00;1510.49
Feasible;0.29;0.00;0.00;17.48;87.41;87.41;0.00;713.29
Feasible;0.29;0.00;0.00;17.48;87.41;87.41;0.00;835.66
Feasible;0.29;0.00;0.00;27.97;3.50;0.00;0.00;646.85
Feasible;0.14;0.00;0.00;57.14;7.14;0.00;0.00;1850.00
Feasible;0.14;0.00;0.00;34.97;209.79;69.93;0.00;923.08
Feasible;0.14;0.00;0.00;34.97;209.79;69.93;0.00;881.12
Feasible;0.18;0.00;0.00;54.35;217.39;108.70;0.00;603.26
Feasible;0.18;0.00;0.00;54.35;217.39;54.35;0.00;603.26
Feasible;0.14;0.00;0.00;69.93;349.65;139.86;0.00;706.29
Feasible;0.21;0.00;0.00;46.73;233.64;140.19;0.00;1378.50
Feasible;0.67;0.00;0.00;47.98;449.78;149.93;0.00;1058.47
Feasible;0.67;0.00;0.00;47.98;449.78;149.93;0.00;1358.32
Feasible;0.20;0.00;0.00;50.00;50.00;50.00;0.00;1075.00
Feasible;0.20;0.00;0.00;50.00;75.00;50.00;0.00;1100.00
Feasible;0.19;0.00;0.00;26.88;80.65;80.65;1344.09;650.54
Feasible;0.20;0.00;0.00;75.00;50.00;50.00;0.00;925.00
Feasible;0.24;0.00;0.00;49.38;160.49;107.00;0.00;1592.59
Feasible;0.24;0.00;0.00;49.38;160.49;107.00;0.00;1716.05
Feasible;0.96;0.00;0.00;41.80;104.49;52.25;0.00;1926.85
Feasible;0.74;0.00;0.00;107.82;134.77;67.39;0.00;1831.54
Feasible;1.22;0.00;0.00;46.09;115.23;49.38;0.00;558.02
Feasible;0.71;0.00;0.00;42.02;105.04;105.04;0.00;931.37
Feasible;0.22;0.00;0.00;37.21;162.79;69.77;0.00;1000.00
Feasible;0.43;0.00;0.00;46.62;174.83;81.59;0.00;927.74
Feasible;0.24;0.00;1.00;63.83;212.77;212.77;0.00;2063.83
Feasible;0.24;0.00;1.00;63.83;212.77;212.77;0.00;2000.00
Feasible;0.31;0.00;1.00;63.90;159.74;79.87;0.00;738.02
Feasible;0.32;0.00;0.00;31.75;158.73;79.37;396.83;857.14
Feasible;0.36;0.00;0.00;67.04;312.85;106.15;0.00;1670.39
Feasible;0.64;0.00;2.00;63.66;313.66;105.59;0.00;1582.30
Feasible;0.30;0.00;0.00;49.50;3.30;0.00;0.00;2656.77
Feasible;0.30;0.00;0.00;49.50;3.30;0.00;0.00;2524.75
Feasible;0.51;0.00;0.00;29.59;15.78;0.00;0.00;378.70
Feasible;0.61;0.00;0.00;32.95;4.94;3.29;0.00;1161.45
Feasible;0.73;0.00;0.00;56.55;200.00;92.41;0.00;979.31
Feasible;0.57;0.00;0.00;71.43;181.18;92.33;0.00;984.32
Feasible;0.14;0.00;0.00;34.97;6.99;0.00;0.00;1146.85
Feasible;0.14;0.00;0.00;34.97;6.99;0.00;0.00;1251.75
Feasible;0.14;0.00;0.00;42.25;7.04;0.00;0.00;690.14
Feasible;0.14;0.00;0.00;70.92;7.09;0.00;0.00;964.54
Feasible;0.22;0.00;0.00;74.42;232.56;93.02;0.00;1362.79
Feasible;0.22;0.00;0.00;74.42;232.56;93.02;0.00;1688.37
Feasible;0.29;0.00;1.00;34.97;139.86;69.93;0.00;699.30
Feasible;0.29;0.00;1.00;34.97;139.86;69.93;0.00;699.30
Feasible;0.29;0.00;1.00;69.93;262.24;87.41;0.00;559.44
Feasible;0.59;0.00;0.00;27.30;85.32;34.13;0.00;725.26
Feasible;0.36;0.00;2.00;44.82;112.04;56.02;0.00;1291.32
Feasible;0.36;0.00;2.00;44.82;112.04;56.02;0.00;1291.32
Feasible;0.07;0.00;2.00;84.51;281.69;281.69;0.00;1042.25
Feasible;0.07;0.00;2.00;84.51;281.69;281.69;0.00;1408.45
Feasible;0.07;0.00;2.00;56.34;253.52;253.52;2253.52;845.07
Feasible;0.08;0.00;0.00;38.96;64.94;38.96;0.00;935.06
Feasible;0.07;0.00;0.00;41.67;208.33;138.89;0.00;2013.89
Feasible;0.07;0.00;0.00;41.67;208.33;138.89;0.00;1875.00
Feasible;0.57;0.00;1.00;28.02;262.70;87.57;0.00;1208.41
Feasible;0.14;0.00;1.00;27.97;279.72;69.93;0.00;517.48
Feasible;0.37;0.00;1.00;68.31;409.84;136.61;2459.02;680.33
Feasible;0.37;0.00;2.00;314.21;273.22;136.61;0.00;1297.81
Feasible;0.34;0.00;2.00;40.82;349.85;116.62;0.00;991.25
Feasible;0.34;0.00;2.00;40.82;349.85;116.62;0.00;1020.41
Feasible;0.21;0.00;0.00;28.04;280.37;140.19;0.00;677.57
Feasible;0.21;0.00;0.00;37.38;280.37;140.19;0.00;794.39
Feasible;0.27;0.00;0.00;29.52;221.40;110.70;0.00;1291.51
Feasible;0.27;0.00;2.00;36.90;221.40;147.60;0.00;1247.23
Feasible;0.30;0.00;2.00;33.33;333.33;166.67;0.00;893.33
Feasible;0.30;0.00;2.00;33.33;333.33;166.67;0.00;1240.00
Feasible;0.14;0.00;0.00;34.97;279.72;69.93;0.00;1216.78
Feasible;0.14;0.00;0.00;34.97;279.72;69.93;0.00;867.13
Feasible;0.15;0.00;0.00;47.30;263.51;47.30;0.00;1006.76
Feasible;0.14;0.00;0.00;49.30;176.06;105.63;0.00;422.54
Feasible;0.08;0.00;0.00;129.87;259.74;64.94;0.00;1000.00
Feasible;0.08;0.00;0.00;129.87;259.74;64.94;0.00;1000.00
Feasible;0.29;0.00;0.00;34.97;262.24;87.41;0.00;1066.43
Feasible;0.29;0.00;0.00;34.97;262.24;87.41;0.00;1066.43
Feasible;0.43;0.00;0.00;41.96;174.83;58.28;0.00;589.74
Feasible;0.29;0.00;0.00;34.97;209.79;69.93;0.00;776.22
Feasible;0.49;0.00;0.00;57.61;133.74;82.30;30864.20;862.14
Feasible;0.49;0.00;0.00;57.61;236.63;123.46;0.00;855.97
Feasible;0.43;0.00;1.00;37.30;233.10;116.55;0.00;582.75
Feasible;0.43;0.00;1.00;37.30;233.10;116.55;0.00;652.68
Feasible;0.29;0.00;1.00;52.45;262.24;87.41;0.00;646.85
Feasible;0.25;0.00;2.00;40.00;300.00;100.00;1000.00;584.00
Feasible;0.18;2.00;0.00;50.28;279.33;139.66;2793.30;1558.66
Feasible;0.29;0.00;0.00;41.96;174.83;69.93;0.00;1118.88
Feasible;0.29;0.00;0.00;52.45;174.83;69.93;0.00;1643.36
Feasible;0.36;0.00;0.00;42.02;280.11;70.03;0.00;980.39
Feasible;0.29;0.00;0.00;34.97;349.65;69.93;0.00;996.50
Feasible;0.16;0.00;2.00;50.96;286.62;95.54;42038.22;1140.13
Feasible;0.16;0.00;2.00;50.96;382.17;127.39;0.00;1121.02
Feasible;0.57;0.00;2.00;35.03;210.16;52.54;0.00;1197.90
Feasible;0.57;0.00;2.00;35.03;210.16;52.54;0.00;1197.90
Feasible;0.66;0.00;2.00;30.40;341.95;113.98;0.00;510.64
Feasible;0.50;0.00;0.00;50.00;500.00;100.00;0.00;1510.00
Feasible;0.47;2.00;0.00;63.56;286.02;84.75;43697.03;1457.63
Feasible;0.47;2.00;0.00;63.56;296.61;95.34;0.00;1281.78
Feasible;0.85;0.00;0.00;46.95;293.43;117.37;1408.45;1960.09
Feasible;0.85;0.00;0.00;52.82;293.43;176.06;117.37;1872.07
Feasible;1.03;0.00;0.00;48.78;292.68;48.78;975.61;1018.54
Feasible;1.03;0.00;0.00;39.02;292.68;97.56;0.00;1282.93
Feasible;1.09;0.00;2.00;36.63;343.41;114.47;41025.64;1007.33
Feasible;1.09;2.00;2.00;36.60;343.09;114.36;0.00;1189.39
Feasible;1.90;0.00;2.00;34.21;210.53;65.79;631.58;1418.42
Feasible;1.90;0.00;2.00;33.68;184.21;52.63;631.58;1328.95
Feasible;1.82;0.00;2.00;33.04;165.20;55.07;0.00;510.46
Feasible;1.82;0.00;1.00;33.04;247.80;82.60;0.00;768.17
Feasible;1.95;2.00;0.00;28.28;205.66;102.83;32185.09;708.48
Feasible;1.95;2.00;0.00;28.28;205.66;102.83;0.00;965.55
Feasible;0.29;0.00;2.00;52.45;262.24;87.41;0.00;751.75
Feasible;0.29;0.00;2.00;52.45;262.24;87.41;0.00;699.30
Feasible;0.34;0.00;2.00;41.06;322.58;161.29;0.00;1401.76
Feasible;0.34;0.00;2.00;43.99;293.26;146.63;0.00;1011.73
Feasible;0.49;0.00;0.00;67.90;308.64;102.88;19681.07;965.02
Feasible;0.49;0.00;0.00;67.90;308.64;102.88;1080.25;965.02
Feasible;0.86;0.00;1.00;29.17;233.37;58.34;0.00;1336.06
Feasible;0.86;0.00;1.00;29.17;233.37;58.34;0.00;1511.09
Feasible;0.86;0.00;1.00;29.14;116.55;58.28;0.00;745.92
Feasible;1.07;0.00;2.00;32.68;233.43;116.71;0.00;1587.30
Feasible;0.86;0.00;2.00;29.14;233.10;116.55;27972.03;1516.32
Feasible;0.86;0.00;2.00;29.14;233.10;116.55;0.00;1516.32
Feasible;0.07;0.00;0.00;42.25;352.11;140.85;0.00;1056.34
Feasible;0.07;0.00;0.00;42.25;352.11;140.85;0.00;1056.34
Feasible;0.07;0.00;0.00;42.25;225.35;56.34;0.00;957.75
Feasible;0.07;0.00;0.00;28.17;281.69;140.85;0.00;718.31
Feasible;0.18;0.00;0.00;54.95;192.31;109.89;0.00;967.03
Feasible;0.33;0.00;0.00;55.38;184.62;123.08;0.00;1061.54
Feasible;0.50;1.00;1.00;30.00;300.00;100.00;0.00;666.00
Feasible;0.50;0.00;1.00;30.00;300.00;100.00;0.00;416.00
Feasible;0.57;0.00;1.00;43.78;437.83;87.57;5078.81;1343.26
Feasible;0.79;0.00;1.00;31.81;190.84;127.23;1526.72;1193.38
Feasible;0.80;0.00;2.00;29.96;624.22;249.69;3745.32;892.63
Feasible;0.80;0.00;2.00;29.96;624.22;249.69;0.00;892.63
Feasible;0.71;0.00;2.00;35.01;210.08;70.03;0.00;763.31
Feasible;0.71;0.00;2.00;35.01;210.08;70.03;0.00;728.29
Feasible;0.72;0.00;2.00;48.95;174.83;34.97;0.00;843.36
Feasible;0.72;0.00;2.00;44.76;139.86;69.93;0.00;916.08
Feasible;0.43;0.00;2.00;46.62;233.10;233.10;0.00;1013.99
Feasible;0.25;0.00;2.00;80.32;401.61;401.61;0.00;1746.99
Feasible;0.43;0.00;1.00;32.71;292.06;175.23;0.00;1355.14
Feasible;0.43;0.00;1.00;37.38;186.92;175.23;0.00;1507.01
Feasible;0.40;0.00;1.00;42.50;375.00;187.50;0.00;1260.00
Feasible;0.43;0.00;2.00;46.73;280.37;93.46;0.00;1133.18
Feasible;0.30;0.00;2.00;43.33;266.67;150.00;0.00;840.00
Feasible;0.30;0.00;2.00;43.33;266.67;150.00;0.00;886.67
Feasible;0.33;0.00;2.00;36.59;457.32;152.44;0.00;2408.54
Feasible;0.07;0.00;2.00;70.42;352.11;112.68;0.00;2112.68
Feasible;0.54;0.00;2.00;37.04;231.48;46.30;0.00;1109.26
Feasible;0.33;0.00;0.00;15.15;227.27;75.76;0.00;1221.21
Feasible;0.35;0.00;2.00;51.43;214.29;71.43;0.00;948.57
Feasible;0.35;0.00;2.00;57.14;214.29;71.43;0.00;914.29
Feasible;0.18;0.00;2.00;28.09;196.63;84.27;0.00;1264.04
Feasible;0.18;0.00;2.00;33.71;196.63;84.27;0.00;1179.78
Feasible;0.25;0.00;2.00;32.00;200.00;100.00;0.00;660.00
Feasible;0.24;0.00;0.00;24.59;4.10;0.00;0.00;590.16
Feasible;0.11;0.00;2.00;65.42;373.83;93.46;0.00;663.55
Feasible;0.11;0.00;2.00;46.73;373.83;93.46;0.00;850.47
Feasible;0.50;0.00;2.00;40.00;400.00;100.00;2000.00;840.00
Feasible;0.25;0.00;2.00;80.00;400.00;200.00;2000.00;980.00
Feasible;0.71;0.00;2.00;32.21;210.08;49.02;2100.84;473.39
Feasible;0.50;0.00;0.00;50.00;50.00;20.00;120.00;784.00
Feasible;0.66;1.00;0.00;27.36;303.95;303.95;0.00;1387.54
Feasible;0.34;2.00;0.00;29.76;297.62;297.62;1845.24;1056.55
Feasible;0.10;0.00;0.00;50.00;200.00;100.00;0.00;1150.00
Feasible;0.10;0.00;0.00;100.00;120.00;30.00;0.00;1380.00
Feasible;0.10;0.00;0.00;40.00;180.00;70.00;0.00;1280.00
Feasible;0.40;0.00;0.00;32.50;207.50;92.50;0.00;1825.00
Feasible;0.16;0.00;0.00;31.85;171.97;82.80;0.00;1910.83
Feasible;0.05;0.00;1.00;80.00;300.00;100.00;0.00;1700.00
Feasible;0.03;0.00;1.00;68.97;172.41;68.97;0.00;1862.07
Feasible;0.05;0.00;1.00;40.00;240.00;60.00;0.00;1000.00
Feasible;0.05;0.00;0.00;40.00;200.00;100.00;0.00;740.00
Feasible;0.10;0.00;0.00;40.00;550.00;200.00;0.00;1890.00
Feasible;0.10;0.00;0.00;40.00;350.00;200.00;0.00;1850.00
Feasible;0.21;0.00;1.00;23.36;233.64;116.82;0.00;1238.32
Feasible;0.14;0.00;1.00;56.34;176.06;105.63;0.00;1478.87
Feasible;0.17;0.00;1.00;57.47;287.36;143.68;0.00;1597.70
Feasible;0.14;0.00;0.00;27.97;244.76;69.93;0.00;1300.70
Feasible;0.22;1.00;0.00;37.21;348.84;176.74;0.00;1255.81
Feasible;0.24;0.00;0.00;20.58;205.76;102.88;0.00;983.54
Feasible;0.20;0.00;1.00;35.00;350.00;150.00;0.00;1175.00
Feasible;0.20;0.00;1.00;35.00;350.00;150.00;0.00;1100.00
Feasible;0.29;0.00;1.00;27.97;297.20;69.93;1048.95;842.66
Feasible;0.29;0.00;2.00;27.97;244.76;87.41;0.00;846.15
Feasible;0.79;1.00;2.00;27.99;201.02;114.50;0.00;1197.20
Feasible;0.50;0.00;2.00;27.94;185.63;26.67;0.00;1409.18
